"codigo","categoria","esHijoDe"
"10","Bebidas",null,
"1001","Bebidas 15%","10",
"1003","Bebidas 0%","10",
"20","Snack",null,
"2001","Bimbo","20",
"2002","Sabritas","20",
"2003","Dulces","20",
"2004","Nevería","20",
"2005","Snack","20",
"2006","Medicamentos","20",
"30","Papelería",null,
"3001","Papelería","30",
"40","Servicios",null,
"4001","Servicio","40",
"4002","Copias","40",
"4003","Soporte Tecnico","40",
"50","Impresiones",null,
"5001","Impresiones a Color","50",
"5002","Impresiones en Negro","50",
"60","Accesorios Y Equipo",null,
"6001","Accs Y Eqs","60",
"6002","Accs y Eqs Soporte","60"